idx chrg_Mg chrg_O p_MgMg_a p_MgMg_c p_MgMg_rho p_OO_a p_OO_c p_OO_rho p_MgO_a p_MgO_c p_MgO_rho 
111 1.8147540201352625 -1.8147540201352625 0.0 0.0 0.5 8882.544848450994 83.88406071600316 0.2115456761384495 1327.388191011256 0.0 0.2948864486142953 
112 2.1058951395571914 -2.1058951395571914 0.0 0.0 0.5 20409.97541670993 101.9504011571717 0.2408525900822152 1365.6439824732456 0.0 0.2935090869321761 
113 1.6178197919687385 -1.6178197919687385 0.0 0.0 0.5 26252.801634158288 74.22751151702016 0.22204811325299684 1221.645067022199 0.0 0.2974481189400649 
114 2.115455048424589 -2.115455048424589 0.0 0.0 0.5 30299.918553580606 99.70230872914182 0.22906657267096778 1358.680341972391 0.0 0.29260783615942937 
115 1.8988174088680938 -1.8988174088680938 0.0 0.0 0.5 26093.009205520626 105.46416831874177 0.234144323055291 1223.7125212829553 0.0 0.29999150891315196 
116 1.7198778125684782 -1.7198778125684782 0.0 0.0 0.5 29501.717084328826 72.69614787079732 0.21273064165699995 1311.6264785831395 0.0 0.29113514296099724 
117 2.1210881363652554 -2.1210881363652554 0.0 0.0 0.5 28858.927063781353 58.797390551639005 0.19104544979964114 1308.9618952794308 0.0 0.29323098265602743 
118 1.908001629962158 -1.908001629962158 0.0 0.0 0.5 7881.206787320673 72.7730999495307 0.25138536147811186 1421.4260234312792 0.0 0.2908476424179638 
119 1.9046502072896996 -1.9046502072896996 0.0 0.0 0.5 14609.008294944037 70.78990663266008 0.23246240165336207 1332.5461828771336 0.0 0.2918473060194088 
120 2.2083188175588524 -2.2083188175588524 0.0 0.0 0.5 29159.63719417376 79.10862560274013 0.20015641589327807 1420.403078555866 0.0 0.2927593676459091 
121 1.4544400693909645 -1.4544400693909645 0.0 0.0 0.5 15376.624517862638 101.30834345975381 0.19634150927083685 1325.6427630094527 0.0 0.29761223711217244 
122 1.961434495713925 -1.961434495713925 0.0 0.0 0.5 21805.97352095038 34.5555614314071 0.1649967921131432 1404.9101997423215 0.0 0.2936172709887639 
123 1.8297415079791806 -1.8297415079791806 0.0 0.0 0.5 4841.1215322705975 55.55684627650807 0.25303677324343143 1436.123360265631 0.0 0.28959425522708204 
124 2.429419585516182 -2.429419585516182 0.0 0.0 0.5 15779.597381949523 84.77067373397938 0.23512091573695526 1292.8390621879153 0.0 0.2939832672678439 
125 1.5154769080079342 -1.5154769080079342 0.0 0.0 0.5 13102.922918490824 93.10146680978502 0.2344490091889476 1319.8428178478662 0.0 0.2914237360296568 
126 1.7388083520622224 -1.7388083520622224 0.0 0.0 0.5 32120.480770794995 68.17861079398085 0.2148107094857983 1225.5888053930237 0.0 0.2954167267605491 
127 2.286977236257925 -2.286977236257925 0.0 0.0 0.5 8069.251869662377 75.73517977931786 0.24268790153892583 1364.828071199914 0.0 0.29228783359089794 
128 2.0327360176122156 -2.0327360176122156 0.0 0.0 0.5 12187.080424196432 67.27761916794505 0.27300526783844975 1475.6101234156217 0.0 0.2829012680636098 
129 2.03155675591281 -2.03155675591281 0.0 0.0 0.5 17275.682483598095 66.24001948992223 0.24299124614973755 1460.0802945298544 0.0 0.28631119040940717 
130 1.7414186108408285 -1.7414186108408285 0.0 0.0 0.5 17411.46215814886 111.18778329730293 0.19446625219604258 1333.126981659077 0.0 0.2991734222684822 
131 1.9039335367790025 -1.9039335367790025 0.0 0.0 0.5 17413.97214219368 75.63112319270307 0.22242236902183884 1383.3937560394115 0.0 0.29349478921640826 
132 1.800177573614456 -1.800177573614456 0.0 0.0 0.5 11777.137131955595 80.32524302771314 0.24011750650357974 1417.089866855513 0.0 0.29084525704736663 
133 1.9931189686541584 -1.9931189686541584 0.0 0.0 0.5 13528.328985232394 48.910096934724464 0.20887454584613246 1406.5715522440362 0.0 0.2915628512396008 
134 1.918336525202043 -1.918336525202043 0.0 0.0 0.5 9244.632271987059 47.83235572140519 0.23288328296295588 1456.9487033717526 0.0 0.28885708845129326 
135 2.118077211887912 -2.118077211887912 0.0 0.0 0.5 11234.410082354134 50.81061412021853 0.2111204806642142 1416.1593314113038 0.0 0.289612741046964 
136 1.6803172251295062 -1.6803172251295062 0.0 0.0 0.5 16399.604483707946 93.9863913396773 0.2626607702882382 1416.8488687737618 0.0 0.2894801046435371 
137 2.413036274112021 -2.413036274112021 0.0 0.0 0.5 22662.09531531675 67.72609450887633 0.24897284867033212 1446.2804700585918 0.0 0.2847008585139419 
138 1.7103339875095647 -1.7103339875095647 0.0 0.0 0.5 26445.90894235959 111.6809682894282 0.22544404305815463 1255.1800889651406 0.0 0.29807571223381724 
139 1.6234931313106253 -1.6234931313106253 0.0 0.0 0.5 7870.715333894508 90.84054317041378 0.2482790534788876 1378.6793088234613 0.0 0.29001001352304384 
140 1.7044510655727991 -1.7044510655727991 0.0 0.0 0.5 7977.245562028602 74.96741294383467 0.23847415685874135 1324.8818717649135 0.0 0.29720049998842457 
141 1.5365310599278132 -1.5365310599278132 0.0 0.0 0.5 22432.085884081833 64.12567391553404 0.22559547745092293 1232.670595633315 0.0 0.2957008203766153 
142 1.897568496936761 -1.897568496936761 0.0 0.0 0.5 10076.300213741413 58.35959506422007 0.20992841876981302 1383.007915836998 0.0 0.2942733712771793 
143 1.917133903387953 -1.917133903387953 0.0 0.0 0.5 13544.0011689474 11.262332219543852 0.1437369550709521 1344.712890506146 0.0 0.2955740646161867 
144 2.150249370148068 -2.150249370148068 0.0 0.0 0.5 24781.930763411205 104.17810467839276 0.21784901226915845 1262.8774990492905 0.0 0.29907798239002586 
145 2.3032161935194497 -2.3032161935194497 0.0 0.0 0.5 42755.07956484897 82.45257446302035 0.2449820914029657 1348.0700022861167 0.0 0.28907317422693046 
146 1.8180950573597383 -1.8180950573597383 0.0 0.0 0.5 11086.086708007451 86.8951899304563 0.25899160348092265 1406.2011719225957 0.0 0.2908006317982138 
147 2.0791392671828737 -2.0791392671828737 0.0 0.0 0.5 28983.54461968015 78.57906945505916 0.22136341997358833 1389.9358227029586 0.0 0.2934342380823637 
148 1.8656760950011224 -1.8656760950011224 0.0 0.0 0.5 7148.567778130766 109.66333596530067 0.2703365877983136 1340.7922759922978 0.0 0.29619085396202494 
149 2.005708896363189 -2.005708896363189 0.0 0.0 0.5 11027.309920674883 53.33840451830007 0.2225400664704459 1284.964222620373 0.0 0.2933571030100096 
150 1.8507495478612852 -1.8507495478612852 0.0 0.0 0.5 30787.88048556837 39.61067401638598 0.17870588286108927 1367.7574544522145 0.0 0.29450565350029706 
151 1.5854043767954908 -1.5854043767954908 0.0 0.0 0.5 11745.686260075234 75.49779800966644 0.2256996009218204 1369.1191599415854 0.0 0.2930495541886403 
152 1.892067529408351 -1.892067529408351 0.0 0.0 0.5 2417.184880185635 81.53937482966823 0.2631098458700998 1345.8879723420691 0.0 0.2908483235513655 
153 2.461636222452141 -2.461636222452141 0.0 0.0 0.5 29508.924047787463 102.54018120446302 0.2187386348708274 1249.2028660779015 0.0 0.29846262991727257 
154 1.9533947061310584 -1.9533947061310584 0.0 0.0 0.5 25290.43717174297 94.88352790463132 0.2315178227489635 1334.2262897981534 0.0 0.2940630737040233 
155 2.3510374161990133 -2.3510374161990133 0.0 0.0 0.5 5043.678400338178 75.76062116665737 0.2576411288704321 1431.5703581828889 0.0 0.2860744896763533 
156 1.3443599280407856 -1.3443599280407856 0.0 0.0 0.5 6633.261605457551 86.25544015151132 0.23221984518621475 1296.463267305174 0.0 0.2947257139634206 
157 2.044882246168152 -2.044882246168152 0.0 0.0 0.5 36111.87292501842 62.09795685933418 0.19067906363625653 1353.083163487504 0.0 0.2955617095225357 
158 1.902554763719043 -1.902554763719043 0.0 0.0 0.5 27883.236591214016 63.6882022717564 0.20545893230806664 1380.0468239308789 0.0 0.2883190337060814 
159 2.111274945226445 -2.111274945226445 0.0 0.0 0.5 8369.061506744172 69.8618487327971 0.23132108196851867 1376.3536257794458 0.0 0.29355414040347844 
160 2.098564890409802 -2.098564890409802 0.0 0.0 0.5 24968.87135043913 38.27823686891278 0.17153048703645063 1449.0351452523357 0.0 0.2893250940604164 
