sim_id, chrg_Mg, chrg_O, MgMg_A, MgMg_rho, MgMg_C, MgO_A, MgO_rho, MgO_C, OO_A, OO_rho, OO_C, MgO_NaCl.a0, MgO_NaCl.c11, MgO_NaCl.c12, MgO_NaCl.c44, MgO_NaCl.B, MgO_NaCl.G, MgO_NaCl.fr_a, MgO_NaCl.fr_c, MgO_NaCl.sch, MgO_NaCl.001s, MgO_NaCl.a0.err, MgO_NaCl.c11.err, MgO_NaCl.c12.err, MgO_NaCl.c44.err, MgO_NaCl.B.err, MgO_NaCl.G.err, MgO_NaCl.fr_a.err, MgO_NaCl.fr_c.err, MgO_NaCl.sch.err, MgO_NaCl.001s.err
sim_id, param, param, param, param, param, param, param, param, param, param, param, qoi, qoi, qoi, qoi, qoi, qoi, qoi, qoi, qoi, qoi, err, err, err, err, err, err, err, err, err, err
11.0, 1.63081883485, -1.63081883485, 0.0, 0.5, 0.0, 931.823596871, 0.321307033504, 0.0, 22173.9741891, 0.322593548578, 57.23211848, 5.300680132, 88.0118923727, 104.408422296, 103.916266327, 98.9429123218, -8.19826496178, -46.904586266, -57.8162014193, -58.7111332866, 0.0224539583763, 1.054680132, -188.988107627, 12.7384222963, -40.0937336728, -54.5070876782, -100.858264962, -57.882586266, -66.8022014193, -63.7781332866, -0.0334960416237
12.0, 2.03077221454, -2.03077221454, 0.0, 0.5, 0.0, 929.440252808, 0.302170714179, 0.0, 7692.34366278, 0.381037171906, 39.1459403178, 5.15344933018, 62.4483359052, 200.827547863, 202.000419531, 154.701143877, -69.1896059788, -257.073179402, -265.039527657, -270.698290417, -1.26286485469, 0.907449330182, -214.551664095, 109.157547863, 57.9904195315, 1.25114387693, -161.849605979, -268.051179402, -274.025527657, -275.765290417, -1.31881485469
14.0, 1.93171966024, -1.93171966024, 0.0, 0.5, 0.0, 862.30739944, 0.294503710635, 0.0, 11692.4218566, 0.298778821546, 75.9794222623, 4.37316678948, 212.391438871, 285.050228217, 285.014734432, 260.830631768, -36.329394673, -88.7446991907, -102.930617321, -104.682085586, 0.0533130953147, 0.127166789479, -64.608561129, 193.380228217, 141.004734432, 107.380631768, -128.989394673, -99.7226991907, -111.916617321, -109.749085586, -0.00263690468534
15.0, 1.71655631375, -1.71655631375, 0.0, 0.5, 0.0, 885.542696309, 0.29335693833, 0.0, 4997.76619479, 0.232652919964, 42.4729698657, 4.03327613425, 317.38517241, 149.501729915, 149.850415775, 205.462877413, 83.9417212478, 9.64472513632, 9.09784433101, 5.63502823168, 0.0732821029544, -0.212723865747, 40.3851724103, 57.8317299148, 5.84041577492, 52.0128774133, -8.71827875222, -1.33327486368, 0.111844331013, 0.568028231675, 0.0173321029544
16.0, 1.9425915356, -1.9425915356, 0.0, 0.5, 0.0, 807.522839639, 0.320647745242, 0.0, 18501.6418875, 0.185264218885, 32.3299878053, 4.18722296438, 284.890147319, 159.923557702, 152.978024202, 201.579087574, 62.4832948087, 9.59242643324, 9.53967392541, 5.70980971153, 0.0678132851745, -0.0587770356237, 7.89014731921, 68.2535577017, 8.96802420203, 48.1290875742, -30.1767051913, -1.38557356676, 0.55367392541, 0.642809711533, 0.0118632851745
17.0, 1.92038392661, -1.92038392661, 0.0, 0.5, 0.0, 1122.98169935, 0.310169581603, 0.0, 16331.4136362, 0.198452270079, 38.1729971407, 4.32766245179, 298.961630785, 128.305796746, 129.490387015, 185.191074759, 85.3279170195, 10.6720237899, 10.4008532987, 6.47923986491, 0.0685692414091, 0.0816624517863, 21.961630785, 36.635796746, -14.5196129852, 31.741074759, -7.33208298054, -0.305976210146, 1.41485329865, 1.41223986491, 0.0126192414091
18.0, 1.6581618977, -1.6581618977, 0.0, 0.5, 0.0, 1084.64969226, 0.329377831864, 0.0, 2229.42239701, 0.351089857258, 40.9186257067, 5.06809129458, 126.508142846, 77.6065313369, 76.4198568288, 93.9070685066, 24.4508057546, 8.84414156236, 6.23341161009, 3.88687765254, 0.0310746666584, 0.822091294579, -150.491857154, -14.0634686631, -67.5901431712, -59.5429314934, -68.2091942454, -2.13385843764, -2.75258838991, -1.18012234746, -0.0248753333416
19.0, 1.60000845785, -1.60000845785, 0.0, 0.5, 0.0, 1179.55320488, 0.303048884827, 0.0, 11945.4878112, 0.106396734687, 34.788581076, 4.54485434712, 210.572048785, 74.2605677571, 76.6460800013, 119.6977281, 68.1557405139, 7.78816093101, 7.88345703297, 5.04610210348, 0.046216772083, 0.298854347124, -66.4279512152, -17.4094322429, -67.3639199987, -33.7522719003, -24.5042594861, -3.18983906899, -1.10254296703, -0.0208978965211, -0.00973322791696
20.0, 1.60905818002, -1.60905818002, 0.0, 0.5, 0.0, 1263.28913031, 0.326176210212, 0.0, 22189.2339606, 0.303188503652, 44.9396914246, 5.30473087174, 111.863823828, 74.4873448451, 74.9334115404, 86.9461711729, 18.6882394917, 10.1120721593, 5.26200127258, 3.51989413198, 0.0275332185343, 1.05873087174, -165.136176172, -17.1826551549, -69.0765884596, -66.5038288271, -73.9717605083, -0.86592784074, -3.72399872742, -1.54710586802, -0.0284167814657
21.0, 1.79062544889, -1.79062544889, 0.0, 0.5, 0.0, 1078.62538285, 0.311608244596, 0.0, 2776.32930065, 0.336946075288, 57.8706230747, 4.67008544204, 181.611819959, 134.107459414, 137.041755388, 149.942246263, 23.7521802725, 10.6172539883, 6.60094750659, 4.14950835729, 0.0439241099595, 0.424085442037, -95.3881800406, 42.4374594144, -6.96824461156, -3.50775373725, -68.9078197275, -0.36074601167, -2.38505249341, -0.917491642708, -0.0120258900405
