idx chrg_Mg chrg_O p_MgMg_a p_MgMg_c p_MgMg_rho p_OO_a p_OO_c p_OO_rho p_MgO_a p_MgO_c p_MgO_rho 
123 1.6704163893995256 -1.6704163893995256 0.0 0.0 0.5 -1955.1414709398978 74.37877122524851 0.28501445548672005 1062.2886643201407 0.0 0.3004171885799815 
124 2.4058358890987686 -2.4058358890987686 0.0 0.0 0.5 3799.7692278477152 80.56025295506278 0.1351124887300638 1009.8117715004771 0.0 0.3100439977922923 
125 1.9946567960845705 -1.9946567960845705 0.0 0.0 0.5 15955.390407509598 70.9931572345893 0.197393625203857 1137.0741337371953 0.0 0.2968467379161975 
126 1.8794669592158075 -1.8794669592158075 0.0 0.0 0.5 10073.57976531019 57.999216040722466 0.19834208339323275 1119.0245239057126 0.0 0.30412853524616795 
127 1.9710306172157273 -1.9710306172157273 0.0 0.0 0.5 10743.734456910195 64.06289587540475 0.1832896585713335 1087.945621588218 0.0 0.30924118689935526 
128 1.5151118018799723 -1.5151118018799723 0.0 0.0 0.5 12422.387983932333 57.17705689245901 0.23570983988081204 1169.976725777171 0.0 0.29156141899312554 
129 1.993509775281795 -1.993509775281795 0.0 0.0 0.5 18307.966201642765 48.30745387483421 0.172427195814791 926.9331739780229 0.0 0.31492891195706 
130 1.966614888312276 -1.966614888312276 0.0 0.0 0.5 10665.363381058409 58.237003019019554 0.11569198842251006 1206.3285011475043 0.0 0.31115876407981935 
131 1.522783204856437 -1.522783204856437 0.0 0.0 0.5 25899.818738371745 15.052551314017496 0.11754602209517365 1035.3522813154725 0.0 0.31664748968155765 
132 2.2422489081893024 -2.2422489081893024 0.0 0.0 0.5 -7855.88170803573 90.3191194469792 0.20238401745255818 980.9379359671053 0.0 0.3146547292760546 
133 1.6540248093716936 -1.6540248093716936 0.0 0.0 0.5 6500.941577872142 75.23560868490902 0.2378090001682078 1113.6247575431423 0.0 0.29231806619935197 
134 2.122020084863219 -2.122020084863219 0.0 0.0 0.5 5377.182408056602 70.18389477958945 0.12795519687110002 1028.7613225877867 0.0 0.3144480698786433 
135 2.0399660371580604 -2.0399660371580604 0.0 0.0 0.5 3110.92358557531 58.039693818608505 0.2907502106241837 792.0603532727138 0.0 0.3251517075387289 
136 2.156858825705282 -2.156858825705282 0.0 0.0 0.5 7687.003855912604 65.14387047539394 0.150798580565215 1114.3629294723983 0.0 0.30534913316247486 
137 1.8261147152912192 -1.8261147152912192 0.0 0.0 0.5 18460.06588044422 56.6488233268611 0.17626878422038697 1133.1493598310917 0.0 0.2992135818454285 
138 2.2238093767659204 -2.2238093767659204 0.0 0.0 0.5 1686.4799328939157 82.28495689120325 0.09678763789470285 857.8894094904348 0.0 0.31970392269871173 
139 2.0849162476292817 -2.0849162476292817 0.0 0.0 0.5 7611.078372492431 60.91157801581651 0.2515634248807955 941.2916817700296 0.0 0.31257572010005535 
140 1.9549992707407788 -1.9549992707407788 0.0 0.0 0.5 18232.82611227701 69.175931519735 0.12033101423378405 1331.7063504996022 0.0 0.2985418253496497 
141 1.870553582750622 -1.870553582750622 0.0 0.0 0.5 16176.300517488553 59.26010020537483 0.11532383265379242 1233.0883005012283 0.0 0.3096577040931914 
142 1.9953693255732818 -1.9953693255732818 0.0 0.0 0.5 6885.031044687101 70.16354705297873 0.16992775025427045 1032.9454382126228 0.0 0.30538147043014385 
143 2.1565166016159862 -2.1565166016159862 0.0 0.0 0.5 3937.813029726505 41.857164555331096 0.14315342077947354 859.3083079517912 0.0 0.3318126075325072 
144 1.7577550852907393 -1.7577550852907393 0.0 0.0 0.5 24339.13394958379 28.95718564761989 0.17007564421983634 866.0058916366611 0.0 0.31838310181730084 
145 1.5676637274365757 -1.5676637274365757 0.0 0.0 0.5 13675.997595680035 38.036488887688584 0.18243021206874258 1017.963300763616 0.0 0.30783207391026174 
146 2.0065182139825053 -2.0065182139825053 0.0 0.0 0.5 8228.793158316887 56.967065240599 0.2235142696516351 991.6914440711761 0.0 0.31468667793364324 
